Acompanhamentos 1;Acompanhamentos 2;Acompanhamentos 3;Acompanhamentos 4;Qty Acompanhamentos;Chave Participante;vencedor?;Faixa Etária;Ano Estréia;Cidade Origem;Data Saída;País Origem;Ocupação Agrupada;Gênero;Estado;Nome Participante;Idade;Ocupação;Resultado;Masterchef;Estréia Temporada;Fim Temporada;Qty Episódios;Qty Participantes;Obserção;Tipo Prato;Vegetariano;Nome Prato;Item Principal;Acompanhamentos;Participantes Finalistas;UF;Regiao
;;;;0;Martin Casili1;0;Adultos;2014;São Paulo;28 de outubro de 2014;Brasil;Estudante;Homem;São Paulo;Martin Casili;20;Estudante;6º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
;;;;0;Estefano Zaquini1;0;Jovens;2014;Santo André;11 de novembro de 2014;Brasil;Auxiliar de escritório;Homem;São Paulo;Estefano Zaquini;19;Auxiliar de serralheiro;8º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;SP;Sudeste
;;;;0;Estefano Zaquini1;0;Jovens;2014;Santo André;11 de novembro de 2014;Brasil;Auxiliar de escritório;Homem;Paraíba;Estefano Zaquini;19;Auxiliar de serralheiro;8º eliminado;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;PB;Nordeste
;;;;0;Ana Luiza Teixeira4;0;Adultos;2017;Iguatama;20 de junho de 2017;Brasil;Estudante;Mulher;Minas Gerais;Ana Luiza Teixeira;27;Estudante de zootecnia;15ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;MG;Sudeste
;;;;0;Marli Rocha1;0;Adultos;2014;Juiz de Fora;23 de setembro de 2014;Brasil;Aposentada;Mulher;Minas Gerais;Marli Rocha;51;Aposentada;2ª eliminada;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;MG;Sudeste
;;;;0;Angélica Lessa5;0;Adultos;2018;Carangola;24 de abril de 2018;Brasil;Psicologia;Mulher;Minas Gerais;Angélica Lessa;41;Psicóloga;7ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;MG;Sudeste
;;;;0;Izabel Alvares2;1;Adultos;2015;Rio de Janeiro;15 de setembro de 2015;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Izabel Alvares;31;Produtora de eventos;Vencedor;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Sobremesa;1;Sericaia mineira;Sericaia mineira;;Izabel Alvares;RJ;Sudeste
;;;;0;Izabel Alvares2;0;Adultos;2015;Rio de Janeiro;23 de junho de 2015;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Izabel Alvares;31;Produtora de eventos;6ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;Sobremesa;1;Sericaia mineira;Sericaia mineira;;Izabel Alvares;RJ;Sudeste
crumble de polen;chantili de mel;;;2;Lorena Dayse6;0;Adultos;2019;Teresina;25 de agosto de 2019;Brasil;Enfermeira;Mulher;Piauí;Lorena Dayse;35;Enfermeira;2º lugar;6;24 de março de 2019;25 de agosto de 2019;22;19;;Sobremesa;1;Sorvete de coco com abacaxi na cachaça;Sorvete;crumble de polen, chantili de mel;Lorena Dayse;PI;Nordeste
;;;;0;Cássia Castro2;0;Jovens;2015;Cuiabá;2 de junho de 2015;Brasil;Estudante;Mulher;Mato Grosso;Cássia Castro;18;Estudante;2ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;MT;Centro-Oeste
baião de dois de feijão verde;alho poró;;;2;Lorena Dayse6;0;Adultos;2019;Teresina;25 de agosto de 2019;Brasil;Enfermeira;Mulher;Piauí;Lorena Dayse;35;Enfermeira;2º lugar;6;24 de março de 2019;25 de agosto de 2019;22;19;;Principal;0;Carneiro ao leite de coco;Carneiro;baião de dois de feijão verde, alho poró;Lorena Dayse;PI;Nordeste
;;;;0;Vinícius Rossignoli5;0;Adultos;2018;Goiânia;19 de junho de 2018;Brasil;Consultor empresarial;Homem;Goiás;Vinícius Rossignoli;32;Consultor de marketing;14º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;GO;Centro-Oeste
musgo de ervas;purê de ervilha;hortelâ;picles de maçã verde;2;Bruna Chaves3;0;Adultos;2016;Belo Horizonte;23 de agosto de 2016;Brasil;Pedagogia;Mulher;Minas Gerais;Bruna Chaves;29;Professora;2º lugar;3;15 de março de 2016;23 de agosto de 2016;25;21;;Principal;0;Carré de cordeiro com musgo de ervas;Cordeiro;musgo de ervas, purê de ervilha, hortelâ, picles de maçã verde;Bruna Chaves;MG;Sudeste
;;;;0;Victor Hugo Garcia5;0;Adultos;2018;Otacílio Costa;3 de julho de 2018;Brasil;Pedagogia;Homem;Santa Catarina;Victor Hugo Garcia;35;Professor de francês;16º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;SC;Sul
;;;;0;Paula Salles3;0;Adultos;2016;Rio de Janeiro;19 de julho de 2016;Brasil;Produtora executiva;Mulher;Rio de Janeiro;Paula Salles;33;Produtora teatral;16ª eliminada;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;RJ;Sudeste
;;;;0;Juliana Nicoli6;0;Adultos;2019;Guaratinguetá;11 de agosto de 2019;Brasil;Administração;Mulher;São Paulo;Juliana Nicoli;35;Administradora hospitalar;17ª eliminada;6;24 de março de 2019;25 de agosto de 2019;22;19;;;;;;;;SP;Sudeste
ragu de vitella;farofa de tutano;;;4;Hugo Merchan5;0;Adultos;2018;Marília;31 de julho de 2018;Brasil;Dentista;Homem;São Paulo;Hugo Merchan;25;Cirurgião dentista;2º lugar;5;6 de março de 2018;31 de julho de 2018;22;21;;Principal;0;Pappardelle;Pappardelle;ragu de vitella, farofa de tutano;Hugo Merchan;SP;Sudeste
ragu de vitella;farofa de tutano;;;4;Hugo Merchan5;0;Adultos;2018;Marília;22 de maio de 2018;Brasil;Dentista;Homem;São Paulo;Hugo Merchan;25;Cirurgião dentista;11º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;Principal;0;Pappardelle;Pappardelle;ragu de vitella, farofa de tutano;Hugo Merchan;SP;Sudeste
;;;;0;Patrizia Martins2;0;Adultos;2015;São Paulo;2 de junho de 2015;Brasil;Dentista;Mulher;São Paulo;Patrizia Martins;41;Artista plástica;1ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;SP;Sudeste
;;;;0;Fernando Ferreira4;0;Adultos;2017;São Paulo;13 de junho de 2017;Brasil;Vendas;Homem;São Paulo;Fernando Ferreira;30;Supervisor de vendas;12º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;SP;Sudeste
;;;;0;Nayane Barreto4;0;Adultos;2017;Brasília;30 de maio de 2017;Brasil;Advocacia;Mulher;Distrito Federal;Nayane Barreto;26;Advogada;10ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;DF;Centro-Oeste
;;;;0;Nayane Barreto4;0;Adultos;2017;Brasília;23 de maio de 2017;Brasil;Advocacia;Mulher;Distrito Federal;Nayane Barreto;26;Advogada;9ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;DF;Centro-Oeste
;;;;0;Leonardo Santos4;0;Adultos;2017;Ribeirão Preto;1 de agosto de 2017;Brasil;Publicitário;Homem;São Paulo;Leonardo Santos;22;Publicitário;19º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;SP;Sudeste
;;;;0;Aritana Maroni2;0;Adultos;2015;São Paulo;4 de agosto de 2015;Brasil;Empresário;Mulher;São Paulo;Aritana Maroni;36;Empresária;12ª eliminada;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;SP;Sudeste
caldo de tucupi;capuchinha;;;4;Hugo Merchan5;0;Adultos;2018;Marília;31 de julho de 2018;Brasil;Dentista;Homem;São Paulo;Hugo Merchan;25;Cirurgião dentista;2º lugar;5;6 de março de 2018;31 de julho de 2018;22;21;;Entrada;0;Camarão no vapor;Camarão;caldo de tucupi, capuchinha;Hugo Merchan;SP;Sudeste
caldo de tucupi;capuchinha;;;4;Hugo Merchan5;0;Adultos;2018;Marília;22 de maio de 2018;Brasil;Dentista;Homem;São Paulo;Hugo Merchan;25;Cirurgião dentista;11º eliminado;5;6 de março de 2018;31 de julho de 2018;22;21;;Entrada;0;Camarão no vapor;Camarão;caldo de tucupi, capuchinha;Hugo Merchan;SP;Sudeste
;;;;0;Abel Chang4;0;Adultos;2017;Assunção;25 de abril de 2017;Brasil;Diretor;Homem;Paraíba;Abel Chang;31;Diretor de marketing;5º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;PB;Nordeste
;;;;0;Isabella Britto1;0;Adultos;2014;Vitória;7 de outubro de 2014;Brasil;Consultor empresarial;Mulher;Espírito Santo;Isabella Britto;34;Consultora de comércio;4ª eliminada;1;2 de setembro de 2014;16 de dezembro de 2014;17;16;;;;;;;;ES;Sudeste
;;;;0;Douglas Holler4;0;Adultos;2017;Ivoti;9 de maio de 2017;Brasil;Designer;Homem;Rio Grande do Sul;Douglas Holler;25;Designer de curtume;7º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;RS;Sul
creme inglês de matcha;;;;1;Leonardo Young3;1;Adultos;2016;São Paulo;23 de agosto de 2016;Brasil;Empresário;Homem;São Paulo;Leonardo Young;30;Empresário;Vencedor;3;15 de março de 2016;23 de agosto de 2016;25;21;;Sobremesa;1;Ovos nevados;Ovos Nevados;creme inglês de matcha;Leonardo Young;SP;Sudeste
;;;;0;Luciana Braga4;0;Adultos;2017;Belo Horizonte;4 de abril de 2017;Brasil;Diretor;Mulher;Minas Gerais;Luciana Braga;35;Diretora de comunicação;2ª eliminada;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;MG;Sudeste
;;;;0;Eliane Ribeiro5;0;Adultos;2018;Ilhéus;24 de julho de 2018;Brasil;Empresário;Mulher;Bahia;Eliane Ribeiro;29;Empresária;19ª eliminada;5;6 de março de 2018;31 de julho de 2018;22;21;;;;;;;;BA;Nordeste
;;;;0;Victor Vieira4;0;Adultos;2017;Vitória;8 de agosto de 2017;Brasil;Diretor;Homem;Espírito Santo;Victor Vieira;34;Diretor de marketing;20º eliminado;4;7 de março de 2017;22 de agosto de 2017;25;21;;;;;;;;ES;Sudeste
;;;;0;Aluísio Nahime3;0;Adultos;2016;Cajuru;12 de julho de 2016;Brasil;Comerciante;Homem;São Paulo;Aluísio Nahime;32;Comerciante;15º eliminado;3;15 de março de 2016;23 de agosto de 2016;25;21;;;;;;;;SP;Sudeste
;;;;0;Fernando Kawasaki2;0;Adultos;2015;Parapuã;25 de agosto de 2015;Brasil;Publicitário;Homem;São Paulo;Fernando Kawasaki;29;Publicitário;15º eliminado;2;19 de maio de 2015;15 de setembro de 2015;18;18;;;;;;;;SP;Sudeste
